Date,open,high,low,close
2001-01-16,1318.32,1327.81,1313.33,1329.1081105586381
2001-01-17,1326.65,1346.92,1325.41,1330.7958154484454
2001-01-18,1329.89,1352.71,1327.41,1347.0912192018889
2001-01-19,1347.97,1354.55,1336.74,1341.1136468878392
2001-01-22,1342.54,1353.62,1333.84,1339.9434523286106
2001-01-23,1342.9,1362.9,1339.63,1358.317037900236
2001-01-24,1360.4,1369.75,1357.28,1362.8101663437621
2001-01-25,1364.3,1367.35,1354.63,1356.039198712908
2001-01-26,1357.51,1357.51,1342.75,1356.508088175718
2001-01-29,1354.92,1365.54,1350.36,1365.6510954940989
2001-01-30,1364.17,1375.68,1356.2,1375.682191998032
2001-01-31,1373.73,1383.37,1364.66,1367.5399769498226
2001-02-01,1366.01,1373.5,1359.34,1375.928110558638
2001-02-02,1373.47,1376.38,1348.72,1350.7958154484454
2001-02-05,1349.47,1354.56,1344.48,1353.4312192018888
2001-02-06,1354.31,1363.55,1350.04,1350.8336468878392
2001-02-07,1352.26,1352.26,1334.26,1337.9334523286107
2001-02-08,1341.1,1350.32,1332.42,1330.447037900236
2001-02-09,1332.53,1332.53,1309.98,1313.2701663437622
2001-02-12,1314.76,1330.96,1313.64,1328.839198712908
2001-02-13,1330.31,1336.62,1317.51,1320.358088175718
2001-02-14,1318.8,1320.73,1304.72,1317.4010954940989
2001-02-15,1315.92,1331.29,1315.92,1328.562191998032
2001-02-16,1326.61,1326.61,1293.18,1303.0599769498226
2001-02-20,1301.53,1307.16,1278.44,1281.398110558638
2001-02-21,1278.94,1282.97,1253.16,1256.5958154484454
2001-02-22,1255.27,1259.94,1228.33,1251.9412192018888
2001-02-23,1252.82,1252.82,1215.44,1244.4336468878391
2001-02-26,1245.86,1267.69,1241.71,1264.6934523286106
2001-02-27,1267.65,1272.76,1252.26,1255.857037900236
2001-02-28,1257.94,1263.47,1229.65,1238.4501663437622
2001-03-01,1239.94,1241.36,1214.5,1239.759198712908
2001-03-02,1241.23,1251.01,1219.74,1235.738088175718
2001-03-05,1234.18,1242.55,1234.04,1242.8910954940989
2001-03-06,1241.41,1267.42,1241.41,1255.752191998032
2001-03-07,1253.8,1263.86,1253.8,1263.4199769498227
2001-03-08,1261.89,1266.5,1257.6,1267.198110558638
2001-03-09,1264.74,1264.74,1228.42,1234.7458154484455
2001-03-12,1233.42,1233.42,1176.78,1179.281219201889
2001-03-13,1180.16,1197.83,1171.5,1196.2336468878393
2001-03-14,1197.66,1197.66,1155.35,1163.7534523286106
2001-03-15,1166.71,1182.04,1166.71,1171.477037900236
2001-03-16,1173.56,1173.56,1148.64,1149.0401663437622
2001-03-19,1150.53,1173.5,1147.18,1169.339198712908
2001-03-20,1170.81,1180.56,1142.19,1144.178088175718
2001-03-21,1142.62,1149.39,1118.74,1123.6210954940989
2001-03-22,1122.14,1124.27,1081.19,1119.532191998032
2001-03-23,1117.58,1141.83,1117.58,1141.3599769498226
2001-03-26,1139.83,1160.02,1139.83,1155.148110558638
2001-03-27,1152.69,1183.35,1150.96,1183.4958154484455
2001-03-28,1182.17,1182.17,1147.83,1152.4112192018888
2001-03-29,1153.29,1161.69,1136.26,1146.5236468878393
2001-03-30,1147.95,1162.8,1143.83,1157.3734523286105
2001-04-02,1160.33,1169.51,1137.51,1143.7870379002359
2001-04-03,1145.87,1145.87,1100.19,1104.9701663437622
2001-04-04,1106.46,1117.5,1091.99,1101.779198712908
2001-04-05,1103.25,1151.47,1103.25,1152.998088175718
2001-04-06,1151.44,1151.44,1119.29,1129.9110954940988
2001-04-09,1128.43,1146.13,1126.38,1139.542191998032
2001-04-10,1137.59,1173.92,1137.59,1169.9099769498227
2001-04-11,1168.38,1182.24,1160.26,1168.3481105586382
2001-04-12,1165.89,1183.51,1157.73,1184.8258154484454
2001-04-16,1183.5,1184.64,1167.38,1178.801219201889
2001-04-17,1179.68,1192.25,1168.9,1190.3836468878392
2001-04-18,1191.81,1248.42,1191.81,1235.2034523286106
2001-04-19,1238.16,1253.71,1233.39,1251.607037900236
2001-04-20,1253.7,1253.7,1234.41,1241.4901663437622
2001-04-23,1242.98,1242.98,1217.47,1222.889198712908
2001-04-24,1224.36,1233.54,1208.89,1211.028088175718
2001-04-25,1209.47,1232.36,1207.38,1230.2310954940988
2001-04-26,1228.75,1248.3,1228.75,1236.472191998032
2001-04-27,1234.52,1253.07,1234.52,1254.5799769498226
2001-04-30,1253.05,1269.3,1243.99,1251.918110558638
2001-05-01,1249.46,1266.47,1243.55,1267.7658154484454
2001-05-02,1266.44,1272.93,1257.7,1266.551219201889
2001-05-03,1267.43,1267.43,1239.88,1247.1536468878392
2001-05-04,1248.58,1267.51,1232.0,1263.6534523286105
2001-05-07,1266.61,1270.0,1259.19,1261.427037900236
2001-05-08,1266.71,1267.01,1253.0,1259.7101663437622
2001-05-09,1261.2,1261.65,1247.83,1254.069198712908
2001-05-10,1255.54,1268.14,1254.56,1256.738088175718
2001-05-11,1255.18,1259.84,1240.79,1247.1510954940989
2001-05-14,1245.67,1249.68,1241.02,1250.8721919980321
2001-05-15,1248.92,1257.45,1245.36,1250.9699769498227
2001-05-16,1249.44,1286.39,1243.02,1287.448110558638
2001-05-17,1284.99,1296.48,1282.65,1289.8158154484454
2001-05-18,1288.49,1292.06,1281.15,1291.0812192018889
2001-05-21,1291.96,1312.95,1287.87,1311.4036468878392
2001-05-22,1312.83,1315.93,1306.89,1306.4234523286107
2001-05-23,1309.38,1309.38,1288.7,1286.967037900236
2001-05-24,1289.05,1295.04,1281.22,1291.6801663437623
2001-05-25,1293.17,1293.17,1276.42,1276.4191987129082
2001-05-29,1277.89,1278.42,1265.41,1269.488088175718
2001-05-30,1267.93,1267.93,1245.96,1249.5610954940987
2001-05-31,1248.08,1261.91,1248.07,1257.772191998032
2001-06-01,1255.82,1265.34,1246.88,1262.1999769498227
2001-06-04,1260.67,1267.17,1256.36,1269.568110558638
2001-06-05,1267.11,1286.62,1267.11,1284.8958154484453
2001-06-06,1283.57,1283.85,1269.01,1269.1512192018888
2001-06-07,1270.03,1277.08,1265.08,1275.5336468878393
2001-06-08,1276.96,1277.11,1259.99,1262.0034523286106
2001-06-11,1264.96,1264.96,1249.23,1252.307037900236
2001-06-12,1254.39,1261.0,1235.75,1254.360166343762
2001-06-13,1255.85,1259.75,1241.59,1240.129198712908
2001-06-14,1241.6,1241.6,1218.9,1221.428088175718
2001-06-15,1219.87,1221.5,1203.03,1215.8410954940987
2001-06-18,1214.36,1221.23,1208.33,1210.382191998032
2001-06-19,1208.43,1226.11,1207.71,1214.1099769498226
2001-06-20,1212.58,1225.61,1210.07,1225.5981105586382
2001-06-21,1223.14,1240.24,1220.25,1238.3658154484453
2001-06-22,1237.04,1237.73,1221.41,1224.4712192018887
2001-06-25,1225.35,1231.5,1213.6,1217.1736468878391
2001-06-26,1218.6,1220.7,1204.64,1213.8034523286105
2001-06-27,1216.76,1219.92,1207.29,1208.987037900236
2001-06-28,1211.07,1234.44,1211.07,1224.7101663437622
2001-06-29,1226.2,1237.29,1221.14,1222.9091987129082
2001-07-02,1224.42,1239.78,1224.03,1238.278088175718
2001-07-03,1236.71,1236.71,1229.43,1235.9310954940988
2001-07-05,1234.45,1234.45,1219.15,1221.192191998032
2001-07-06,1219.24,1219.24,1188.74,1192.1199769498226
2001-07-09,1190.59,1201.76,1189.75,1201.238110558638
2001-07-10,1198.78,1203.43,1179.93,1182.8458154484454
